"cbsa","Region_Name","Total: Abs. Disparity","Total: Rel. Disparity"
29100,"Midwest",12.6755174818516,1.17299048969172
43420,"West",12.5998109915212,1.17065118744499
45940,"Northeast",12.4566759911739,1.17021371106131
34940,"South",12.4317277418306,1.16225395181323
11180,"Midwest",11.9569531771973,1.15643507740189
34620,"Midwest",11.7890795800698,1.1684026732605
24780,"South",11.7671466509158,1.16276125454614
26980,"Midwest",11.6649161181629,1.15200979296665
32820,"South",11.636869300095,1.1662834555511
19500,"Midwest",11.533062096724,1.16334212693408
19820,"Midwest",11.5266806034253,1.16215011773473
19380,"Midwest",11.4537550792043,1.16234414921584
28100,"Midwest",11.414406133754,1.15850654217534
48060,"Northeast",11.4118234871562,1.15064672205394
35660,"Midwest",11.356912517567,1.15885445772181
12580,"South",11.3078915699984,1.15739407805251
24500,"West",11.304386406875,1.15714090251067
21780,"Midwest",11.3025005109236,1.15887939231808
14020,"Midwest",11.2672183080197,1.15109728792011
13820,"South",11.2345337126436,1.16078161765328
27140,"South",11.22375507807,1.15791493936708
43620,"Midwest",11.204536521497,1.15104913217988
23060,"Midwest",11.1705210960054,1.15297364953496
33340,"Midwest",11.1382599917971,1.15358789779199
44220,"Midwest",11.1369693018964,1.16111974084366
31140,"South",11.1087936343125,1.15639736247215
18140,"Midwest",11.0666934231326,1.15398638599051
13900,"Midwest",11.0479417252375,1.14680876722252
17140,"Midwest",11.0326909076741,1.15386783874545
16580,"Midwest",11.0221149966323,1.14733804169165
17980,"South",10.9664779907713,1.15585662856656
37980,"Northeast",10.8995939966093,1.15036877553727
38940,"South",10.8962027964509,1.14723831764351
33100,"South",10.8867336423348,1.14573359165749
15500,"South",10.8568545643864,1.15091164115503
26900,"Midwest",10.8510784318897,1.15143382821385
44100,"Midwest",10.8142063861852,1.15023053090179
16940,"West",10.8017627565444,1.1423225697251
46060,"West",10.7913170726756,1.14758703647361
40420,"Midwest",10.7795246685577,1.15071569901568
30620,"Midwest",10.7397113200063,1.14833724910613
18020,"Midwest",10.7293587501712,1.14771520304972
13220,"South",10.7242132709123,1.15323145814848
35840,"South",10.6813229300676,1.1428332385743
29020,"Midwest",10.648791092433,1.15006334858702
29200,"Midwest",10.6380269884047,1.14307181050407
17460,"Midwest",10.6379056567986,1.14744715143977
10180,"South",10.6377794845758,1.15005823312968
17820,"West",10.5968676312336,1.14303863456219
41180,"Midwest",10.5708286237477,1.14594358784203
40980,"Midwest",10.5692642726056,1.14725935168796
11460,"Midwest",10.5650810465884,1.14155692654024
44300,"Northeast",10.5573253375631,1.13870230553138
27260,"South",10.5555749478467,1.14672483507147
46140,"South",10.546342479839,1.14847220922614
30460,"South",10.5429930644044,1.14606781986601
16540,"Northeast",10.53344750159,1.13879381798442
36540,"Midwest",10.5276020668267,1.14327472038612
24660,"South",10.5025001410454,1.14454224525603
48620,"Midwest",10.5024756083523,1.14500730029452
30020,"South",10.4935387419967,1.14989153016326
40380,"Northeast",10.4841205066197,1.14020960583869
36980,"South",10.4617415921416,1.14731100651434
34980,"South",10.4534375860059,1.14514097111256
20500,"South",10.4454099113615,1.1402132919731
35380,"South",10.3958108402784,1.14565932467072
36420,"South",10.3911515406419,1.14565054832378
22420,"Midwest",10.3868445127352,1.14757945873335
45780,"Midwest",10.3630497336262,1.14540582305791
12940,"South",10.361888291526,1.14582813523112
16980,"Midwest",10.3597286228286,1.14089267726069
43340,"South",10.3526620026719,1.14736330570136
38340,"Northeast",10.3387178205259,1.13874239404778
44940,"South",10.3319687308585,1.1470096340656
24860,"South",10.3277906358678,1.14316162949837
47900,"South",10.2445549534154,1.13505432174146
39900,"West",10.2416712700958,1.14104457588354
23420,"West",10.2334387120002,1.13953412581265
15980,"South",10.2265714031819,1.13833945715068
47380,"South",10.2162007351182,1.14189222084856
15380,"Northeast",10.2025629281792,1.14000235883059
36140,"Northeast",10.2019521652145,1.13922956725048
39380,"West",10.2011449382191,1.14204308551467
29460,"South",10.1913935899892,1.1396246982346
20220,"Midwest",10.1855454125516,1.13811943230804
21140,"Midwest",10.1655838647636,1.13737513576501
39460,"South",10.1541763808147,1.13689283258545
32580,"South",10.1510882974505,1.13379773477915
39660,"Midwest",10.1465582851832,1.13585725015477
16740,"South",10.1374962396407,1.13938879959484
40060,"South",10.1105121749926,1.13879769891536
33740,"South",10.1054785472422,1.14372055211624
24540,"West",10.0891356255921,1.13531386010909
29420,"West",10.0842243004465,1.14226116892419
43100,"Midwest",10.0827827346835,1.13630185581954
28140,"Midwest",10.0787295102775,1.1379362284532
16700,"South",10.0761133154943,1.13877456106307
31420,"South",10.0439460700189,1.14332607108868
22020,"Midwest",10.0436110016535,1.13343975761331
16060,"Midwest",10.0062874572218,1.14035279906846
17900,"South",9.99991604613264,1.13832141821479
31860,"Midwest",9.99894757517602,1.13079931377607
19340,"Midwest",9.97315567703698,1.13530019878183
20260,"Midwest",9.97208668945692,1.13506355779515
41860,"West",9.95920751422328,1.13021832438272
28940,"South",9.93443586604981,1.13964547194695
35620,"Northeast",9.91979097464605,1.13072898689997
45300,"South",9.91150235621377,1.13658293218485
24140,"South",9.88604805056568,1.13772663541789
37620,"South",9.88567682535027,1.13977373519544
16820,"South",9.88290040318566,1.13134667771626
37860,"South",9.88218604230255,1.13867484652457
49660,"Midwest",9.86402686962921,1.13879718936104
10580,"Northeast",9.84761597712301,1.13058717883796
45220,"South",9.8437757108008,1.1351118485817
19780,"Midwest",9.84235541726012,1.13306043669007
10420,"Midwest",9.83027113921747,1.13660494584695
