cbsa_name,Region_Name,rank,total_dif,uci,lci,cbsa_name,Region_Name,rank,total_ratio,uci,lci
"Atlanta-Sandy Springs-Roswell, GA",South,36, 9.4,9.9526733700869,8.94118827649698,"Riverside-San Bernardino-Ontario, CA",West,36,1.13,1.13369306416387,1.11885461112297
"Riverside-San Bernardino-Ontario, CA",West,37, 9.4,9.90271237638481,8.85320836487604,"Phoenix-Mesa-Scottsdale, AZ",West,37,1.13,1.13312453252418,1.11771093191363
"Pittsburgh, PA",Northeast,38, 9.3,9.85495977494437,8.82714568805908,"Seattle-Tacoma-Bellevue, WA",West,38,1.13,1.13302102504388,1.11715012330147
"Sacramento--Roseville--Arden-Arcade, CA",West,39, 9.3,10.0360389304075,8.6362201511866,"San Antonio-New Braunfels, TX",South,39,1.12,1.13503643673579,1.11518604537482
"Phoenix-Mesa-Scottsdale, AZ",West,40, 9.3,9.83560133871386,8.7499739069565,"Sacramento--Roseville--Arden-Arcade, CA",West,40,1.12,1.13450725283373,1.1149829052641
"San Antonio-New Braunfels, TX",South,41, 9.2,9.94401847519044,8.53049737870601,"Los Angeles-Long Beach-Anaheim, CA",West,41,1.12,1.12877971146583,1.12045045594114
"Dallas-Fort Worth-Arlington, TX",South,42, 9.0,9.45069817174821,8.5981667273724,"Dallas-Fort Worth-Arlington, TX",South,42,1.12,1.12842146478051,1.11596083274246
"Austin-Round Rock, TX",South,43, 8.9,9.83815135057805,8.05319922863784,"Raleigh, NC",South,43,1.12,1.13348785609534,1.10360541574089
"Raleigh, NC",South,44, 8.9,10.0142014611321,7.82692906406423,"Austin-Round Rock, TX",South,44,1.12,1.13096108822145,1.10640635470789
"San Diego-Carlsbad, CA",West,45, 8.9,9.55112592713777,8.32336781264982,"San Diego-Carlsbad, CA",West,45,1.12,1.1251914579284,1.1087481235186
"Boston-Cambridge-Newton, MA-NH",Northeast,46, 8.7,9.18140699603963,8.29607068253289,"Salt Lake City, UT",West,46,1.12,1.12979238975378,1.1019776198756
"Salt Lake City, UT",West,47, 8.7,9.63537646589993,7.65616582092053,"Boston-Cambridge-Newton, MA-NH",Northeast,47,1.11,1.12004202516042,1.10798715384402
"Hartford-West Hartford-East Hartford, CT",Northeast,48, 8.5,9.35822479502739,7.70711117203195,"Hartford-West Hartford-East Hartford, CT",Northeast,48,1.11,1.12434814729333,1.10156413707003
"Portland-Vancouver-Hillsboro, OR-WA",West,49, 8.5,9.18215927387838,7.86389481275327,"Portland-Vancouver-Hillsboro, OR-WA",West,49,1.11,1.12198752924619,1.1037230027526
"San Jose-Sunnyvale-Santa Clara, CA",West,50, 8.2,8.94953481943638,7.51852326102801,"Providence-Warwick, RI-MA",Northeast,50,1.11,1.11891594581214,1.09985008787387
"Providence-Warwick, RI-MA",Northeast,51, 8.2,8.87867175739554,7.52653241158357,"San Jose-Sunnyvale-Santa Clara, CA",West,51,1.10,1.11384936538469,1.09502518573513
