Region_Name,decile_income,mean,sd,cv
Midwest Region,1,73.4276984206081,2.56381252362467,3.49161498830952
Midwest Region,2,75.3835896654642,3.03776218926512,4.02973936734247
Midwest Region,3,76.1981386424808,2.87014998784184,3.76669304391868
Midwest Region,4,77.0369371059274,2.48095678600534,3.22047692861149
Midwest Region,5,78.4177935455158,2.28192185572507,2.90995417309284
Midwest Region,6,78.8125668573636,1.99113655303484,2.52642012870667
Midwest Region,7,79.7302886265574,1.94906101620352,2.44456786721616
Midwest Region,8,80.2742212209415,1.98237097759481,2.46949885958863
Midwest Region,9,80.6409435765886,1.60231149487547,1.98697017149071
Midwest Region,10,81.3322021265944,1.46292283728849,1.79870063644832
Northeast Region,1,74.8050708311502,2.2813209058836,3.0496875152127
Northeast Region,2,76.7495018708093,2.04033498413745,2.65843417143202
Northeast Region,3,77.9134495275468,1.6448460290428,2.11111950377868
Northeast Region,4,79.1977486791455,2.09658710000719,2.64728118535428
Northeast Region,5,79.6884089963407,1.8250340411164,2.29021267220958
Northeast Region,6,79.7888537814494,1.62828094761915,2.04073735922964
Northeast Region,7,80.6979293458247,1.45556490107866,1.80372026008368
Northeast Region,8,80.4305116991205,1.6086994745137,2.00011095357894
Northeast Region,9,81.3210470496746,1.77028089630105,2.17690371745912
Northeast Region,10,81.7737081160374,1.71557205269578,2.09795066436436
South Region,1,72.8536636952552,2.42728531832796,3.33172718462208
South Region,2,74.4630157738694,2.54191835360786,3.41366559921129
South Region,3,75.3345120861385,2.28464584740113,3.03266827398953
South Region,4,76.0631172530566,1.96961264376531,2.58944507521634
South Region,5,76.643202985879,1.89967937303628,2.47860123145725
South Region,6,77.2521677575126,1.88121727993016,2.43516439025392
South Region,7,77.506160404817,2.04426020866192,2.63754545185142
South Region,8,78.1839523807976,2.03230468606153,2.59938852433953
South Region,9,79.0115913043643,2.06097835567015,2.6084506357187
South Region,10,80.119122782279,1.88357661255297,2.35097008946481
West Region,1,76.0684426974865,2.27014450731765,2.98434465964512
West Region,2,77.0910922001257,2.24838294846619,2.91652755759312
West Region,3,77.7581006525028,2.28085875535215,2.93327477936377
West Region,4,78.5635980618283,1.96859072353557,2.50572882620055
West Region,5,79.3185593894713,1.92868688303731,2.43157074193322
West Region,6,79.6645054423467,1.61295420463738,2.02468363505335
West Region,7,80.1240307641029,1.77086491592556,2.21015455542827
West Region,8,80.4356627213455,1.84568379897437,2.29460880476412
West Region,9,81.0030117737686,1.69933960663761,2.09787212774712
West Region,10,81.7782518014758,1.52485776242088,1.86462504251449
